haltestelle,x,y,linie
Puderbach Verbandsgemeinde,7.611089367388646,50.60065903219855,B 100
Puderbach Hölzchens Mühle,7.621523759229189,50.590487830035265,B 100
Hanroth Hedwigsthal,7.624898900522377,50.5853195049052,B 100
Raubach In der Au,7.626184483542989,50.5737805179888,B 100
Wienau Flemmer,7.6407583939870065,50.55972306549966,B 100
Dierdorf Markt,7.655419133569346,50.548940403940406,B 100
Dierdorf Neuwieder Straße,7.652408804716173,50.54825053917053,B 100
Dierdorf SZ-Center,7.635686987057521,50.54549808641114,B 100
Rüscheid Bamberger,7.56586578021307,50.52144197062971,B 100
Rüscheid Siegel,7.565713538026004,50.52292693125279,B 100
Anhausen Petershof,7.566093687646576,50.51125415373778,B 100
Anhausen Schillerstraße,7.553727105211255,50.497080805136925,B 100
Anhausen Braunsberg/Rheinhöhenweg,7.53565074859484,50.484531788401526,B 100
Gladbach Haus am Pilz,7.524313325958697,50.47199129614951,B 100
Gladbach Chausseehaus,7.509892321938725,50.46516421830196,B 100
Torney Dierdorfer Straße,7.495475633779577,50.45907230576196,B 100
Torney Friedhof Wennenberg,7.4919374043568965,50.4573527587281,B 100
Neuwied Beverwijker Ring,7.476657156131553,50.44802269896666,B 100
Neuwied Ludwig-Erhard-Schule,7.4693970825796105,50.449660785108165,B 100
Neuwied Matthiasberg,7.466810720491965,50.446746295278984,B 100
Neuwied Stadion,7.466586383676372,50.43754916331159,B 100
Neuwied Im Weidchen,7.459245951104023,50.433034472256075,B 100
Neuwied Schloßstraße,7.459107498417709,50.429870718020744,B 100
Neuwied An der Matthiaskirche,7.463450547420615,50.43098045885969,B 100
Neuwied Schloßtheater,7.456008582884739,50.429411933265186,B 100
Neuwied Marktkirche,7.458285876622788,50.427422459335475,B 100
Neuwied Marktstraße,7.460336684427419,50.428438959396665,B 100
Neuwied Moltkeplatz,7.466974139877681,50.43087404687882,B 100
Neuwied Bahnhof,7.472455143298851,50.43119797558117,B 100
