richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,1,1,Puderbach Verbandsgemeinde,4.49
Puderbach -> Neuwied,Mo-Fr,1,2,Hölzchens Mühle,4.50
Puderbach -> Neuwied,Mo-Fr,1,3,Hanroth Hedwigsthal A,4.51
Puderbach -> Neuwied,Mo-Fr,1,4,Raubach In der Au,4.55
Puderbach -> Neuwied,Mo-Fr,1,5,Wienau Flemmer,4.58
Puderbach -> Neuwied,Mo-Fr,1,6,Dierdorf Markt an,5.02
Puderbach -> Neuwied,Mo-Fr,1,7,Dierdorf Markt ab,5.03
Puderbach -> Neuwied,Mo-Fr,1,8,Neuwieder Straße B,5.04
Puderbach -> Neuwied,Mo-Fr,1,9,SZ-Center B,5.06
Puderbach -> Neuwied,Mo-Fr,1,10,Rüscheid Siegel,5.13
Puderbach -> Neuwied,Mo-Fr,1,11,Anhausen Petershof A,5.15
Puderbach -> Neuwied,Mo-Fr,1,12,Schillerstraße A an,5.18
Puderbach -> Neuwied,Mo-Fr,1,13,Schillerstraße A ab,5.19
Puderbach -> Neuwied,Mo-Fr,1,14,Braunsberg/Rheinhöhenweg,5.21
Puderbach -> Neuwied,Mo-Fr,1,15,Gladbach Haus am Pilz,5.23
Puderbach -> Neuwied,Mo-Fr,1,16,Chausseehaus,5.26
Puderbach -> Neuwied,Mo-Fr,1,17,Torney Dierdorfer Straße,5.29
Puderbach -> Neuwied,Mo-Fr,1,18,Friedhof Wennenberg,5.30
Puderbach -> Neuwied,Mo-Fr,1,19,Neuwied Beverwijker Ring,5.32
Puderbach -> Neuwied,Mo-Fr,1,20,Ludwig-Erhard-Schule,5.35
Puderbach -> Neuwied,Mo-Fr,1,21,Matthiasberg,5.36
Puderbach -> Neuwied,Mo-Fr,1,22,Stadion A,5.38
Puderbach -> Neuwied,Mo-Fr,1,23,Im Weidchen A,5.39
Puderbach -> Neuwied,Mo-Fr,1,24,Schloßtheater A,5.40
Puderbach -> Neuwied,Mo-Fr,1,25,Marktkirche A,5.42
Puderbach -> Neuwied,Mo-Fr,1,26,Marktstraße B,5.43
Puderbach -> Neuwied,Mo-Fr,1,27,Moltkeplatz A,5.45
Puderbach -> Neuwied,Mo-Fr,1,28,Bahnhof H,5.51
